No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES, FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
1,ABREXIL SUSP 120ML,3.0,,,,,,,,1.0,,,,2.0,6.0,45.0,,2027-05-01,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
2,ACETAMINOFEN GOTAS 100 MG FCO 30 ML SELEC,3.0,,,,,,,,,,,,3.0,7.0,18.0,,2027-10-01,2.0,2.0,2025-03-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
3,ACETAMINOFEN JBE 120 ML SELEC,6.0,,,,,,,,,,,,6.0,20.0,13.0,,2027-07-01,13.0,10.0,2025-03-01,5.0,4.0,2.0,2.0,13.0,3.25,13.0,26.0
4,ACICLOVIR 400 MG BLIST X 10 CAJA X 50 SELEC,2.0,,,,,,,,,,,,2.0,14.0,20.0,,2028-04-01,1.0,1.0,2025-03-01,1.0,3.0,2.0,2.0,8.0,2.0,8.0,16.0
5,ACICLOVIR 400 MG BLISTER X 10 CAJA X 100 CAPLIN,10.0,,,,,,,,,,2.0,,8.0,8.0,12.0,,2026-11-01,0.0,,2025-01-01,3.0,2.0,1.0,2.0,8.0,2.0,8.0,16.0
6,ACICLOVIR 5% CREMA 10 GMS SELEC,4.0,,,,,,,,,,,,4.0,6.0,9.0,,2028-06-01,2.0,,2025-02-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
7,ACICLOVIR 5% CREMA 15 GMS CAPLIN,3.0,,,,,,,,,,1.0,,2.0,6.0,11.0,,2027-05-01,2.0,4.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
8,ACIDO FOLICO 5 MG BLISTER X 20 CAJA X 100 SELEC,9.0,,,,,,,,,,,,9.0,13.0,5.0,,2027-04-01,2.0,,2025-01-01,2.0,2.0,3.0,4.0,11.0,2.75,11.0,22.0
9,AGUA DESTILADA PARA INYE 10 ML PROMEGAL,16.0,,,,,,,,,,,,16.0,0.0,2.5,,2025-06-01,0.0,,2024-06-01,2.0,1.0,3.0,2.0,8.0,2.0,8.0,16.0
10,AGUA OXIGENADA 3% SOL LORALVA 120 ML,15.0,,1.0,,1.0,1.0,,,,,,,12.0,8.0,2.0,COIDE,2026-09-01,0.0,10.0,2025-03-01,1.0,4.0,2.0,3.0,10.0,2.5,10.0,20.0
